643,OBIAROKO,"EDEM ONAH EVENT CENTER ALONG, ABRAKA/OBIARUKU EXPRESS ROAD",Delta,Nigeria,Africa
644,OTOR UDU,"EVWOR QUARTERS, HALL",Delta,Nigeria,Africa
645,MOFOR,"#191 DSC EXPRESS, WAY OPP EKETE, INLAND JUNCTION",Delta,Nigeria,Africa
646,OLEH,"#3 NEW EMEDE RD, BY YANGA MKT, OLEH",Delta,Nigeria,Africa
647,OLOMORO,,Delta,Nigeria,Africa
648,OZORO,"PARADISE HOTEL, BEHIND ZOUKUMOR PRIMARY SCHOOL",Delta,Nigeria,Africa
649,OWHELOGBO,#86 HOSPITAL RD,Delta,Nigeria,Africa
650,PATANI,"LOCAL, GOVERNMENT, COUNCIL, CONFERENCE HALL, EKISE PATANI.",Delta,Nigeria,Africa
651,SAPELE 1,"COMM RD, OPP, OKIRIGWHE, COMM HALL, , SAPELE",Delta,Nigeria,Africa
652,SAPELE 2,"#1 EWETA LANE OPP PJ GOLDEN HOTEL, GANA",Delta,Nigeria,Africa
653,ABRAKA 3,"POLICE STATION RD, BY LUCAS JUNCTION",Delta,Nigeria,Africa
654,UGHELLI 1,"#1 ERUOBOGA STR, BESIDE TOTAL CHILD SCH, AKPODIETE",Delta,Nigeria,Africa
655,UGHELLI 2,"#120 ISOKO RD, BY, NNPC ROUND ABOUT",Delta,Nigeria,Africa
656,UGBOLOKPOSO,#68 HOSPITAL ROAD,Delta,Nigeria,Africa
657,JEDDO,"OBATTERN PLACE, JEDDO-UGOTON RD, AFTER AIRFORCE, MESS",Delta,Nigeria,Africa
658,EKREJEBOR,"QUESSEBEST HOTEL, #70 EKREJEBOR RD",Delta,Nigeria,Africa
659,ARUMALA,"#27 ARUMALA STR, JESUS DAUGHTER, EVENT CENTER, ST",Delta,Nigeria,Africa
660,EKREJEBOR-2,"1PIPELINE BEHIND ATMOSPHERE SEC, SCH",Delta,Nigeria,Africa
661,OKOLOR,"OKOLOR COMM, TOWN HALL, OKOLOR WATERSIDE",Delta,Nigeria,Africa
662,ASABA DISTRICT,,Delta,Nigeria,Africa
663,ASABA,"KM7 ASABA/BENIN, EXPRESSWAY, BESIDES FORMER, DEPUTY ASABA.",Delta,Nigeria,Africa
664,BURUTU,"BURUTU CEMENT, PLAZA DRIVE, INFANT JESUS RD",Delta,Nigeria,Africa
665,OKPANAM 1,VANGUARD AVENUE OPP ASABA AIRPORT,Delta,Nigeria,Africa
666,OKPANAM 2,OMA CO-OPERATIVE EVENT CENTER,Delta,Nigeria,Africa
667,AGBOR-1,"#12 ODIM STR, BY, CALVARY GROUP, SCH, BOJI",Delta,Nigeria,Africa
668,CABLE,"ANGELIC PLAZA #76 NNEBISI RD, CABLE, POINT",Delta,Nigeria,Africa
669,IBUSA,"EZE-IHEGE HALL, UMUOZOMA, QUARTERS, OPP, UMUION BANK",Delta,Nigeria,Africa
670,BEHIND STADIUM,"#13 OBI STR, BEHIND STEPHEN KESHI, STADIUM",Delta,Nigeria,Africa
671,AGBOR 2,"#49 EKUJOMA RD, UMUNEDE",Delta,Nigeria,Africa
672,ODUKE (NEW),"#38 GOOD, SHEPHERD JUNC., ODUKE COMM",Delta,Nigeria,Africa
673,OKWE,"#1 ABC CHIEF, IYASELE STR, BY, POLICE POST",Delta,Nigeria,Africa
674,OKWE 2,"NDUKA PLAZA, OKWE",Delta,Nigeria,Africa
675,ALIOKPU,"OLD SAPOBA RD, BY GENERAL LUCKY, IRABOR JUNC, IKA, SOUTH, AGBOR",Delta,Nigeria,Africa
